community_id,factor_id,raw_value,value_source,data_year,confidence,comment
3,21,6,expert_assessment,2026,0.80,GIS partially used
3,22,5,expert_assessment,2026,0.75,average human capacity
3,23,5,expert_assessment,2026,0.65,average research
3,24,5,expert_assessment,2026,0.65,average activity
3,25,6,expert_assessment,2026,0.75,moderate NSDI alignment
3,26,5,expert_assessment,2026,0.75,average geodata use
3,27,5,expert_assessment,2026,0.75,average monitoring
3,28,6,expert_assessment,2026,0.80,good analytics

4,1,7,expert_assessment,2026,0.85,strong
4,2,0.37,regional_stats,2026,0.80,share of area
4,3,7,expert_assessment,2026,0.80,strong flexibility
4,4,6,expert_assessment,2026,0.80,good land data handling
4,5,6,expert_assessment,2026,0.75,good investment setup
4,6,7,expert_assessment,2026,0.85,strong GIS enablement
4,7,7,expert_assessment,2026,0.80,boundaries formalized
4,8,6,expert_assessment,2026,0.70,stable organization
4,9,6,expert_assessment,2026,0.80,good governance
4,10,6,expert_assessment,2026,0.80,good wartime functioning
4,11,7,expert_assessment,2026,0.80,coordination good
4,12,1.08,stats,2026,0.75,moderate growth
4,13,6,expert_assessment,2026,0.75,good services
4,14,1.11,budget_stats,2026,0.80,positive budget
4,15,6,expert_assessment,2026,0.70,good efficiency
4,16,4,expert_assessment,2026,0.65,limited partners
4,17,6,expert_assessment,2026,0.75,integrated development present
4,18,7,expert_assessment,2026,0.80,recovery programming good
4,19,6,expert_assessment,2026,0.75,good info support
4,20,6,expert_assessment,2026,0.75,AI possible
4,21,7,expert_assessment,2026,0.80,GIS used
4,22,6,expert_assessment,2026,0.75,moderate human capacity
4,23,6,expert_assessment,2026,0.65,research good
4,24,6,expert_assessment,2026,0.65,events moderate
4,25,7,expert_assessment,2026,0.75,good NSDI alignment
4,26,6,expert_assessment,2026,0.75,good geodata use
4,27,6,expert_assessment,2026,0.75,good monitoring
4,28,7,expert_assessment,2026,0.80,good decision support

5,1,4,expert_assessment,2026,0.75,weak
5,2,0.22,regional_stats,2026,0.80,share of area
5,3,4,expert_assessment,2026,0.75,low flexibility
5,4,4,expert_assessment,2026,0.75,weak land data handling
5,5,4,expert_assessment,2026,0.70,weak investment setup
5,6,5,expert_assessment,2026,0.75,limited GIS enablement
5,7,4,expert_assessment,2026,0.70,boundaries incomplete
5,8,4,expert_assessment,2026,0.70,weak organization
5,9,4,expert_assessment,2026,0.75,weak governance
5,10,4,expert_assessment,2026,0.75,weak wartime functioning
5,11,5,expert_assessment,2026,0.75,limited coordination
5,12,0.90,stats,2026,0.70,decline
5,13,4,expert_assessment,2026,0.70,weak services
5,14,0.94,budget_stats,2026,0.75,negative trend
5,15,4,expert_assessment,2026,0.65,low efficiency
5,16,2,expert_assessment,2026,0.60,few partners
5,17,4,expert_assessment,2026,0.70,weak integrated development
5,18,5,expert_assessment,2026,0.75,recovery planning basic
5,19,4,expert_assessment,2026,0.70,weak info support
5,20,4,expert_assessment,2026,0.70,AI nearly absent
5,21,5,expert_assessment,2026,0.75,limited GIS use
5,22,4,expert_assessment,2026,0.70,weak human capacity
5,23,4,expert_assessment,2026,0.60,weak research
5,24,4,expert_assessment,2026,0.60,low events
5,25,5,expert_assessment,2026,0.70,partial NSDI alignment
5,26,4,expert_assessment,2026,0.70,weak geodata use
5,27,4,expert_assessment,2026,0.70,weak monitoring
5,28,5,expert_assessment,2026,0.75,limited decision support
