community_id,factor_id,raw_value,value_source,data_year,confidence,comment,unit,factor_code,block,weight_inside_block,normalized_value,weighted_factor_score
2,15,7.0,expert_assessment,2026,0.7,good efficiency,index,DV007,development,0.1,1.0,0.1
2,16,4.0,expert_assessment,2026,0.65,limited partners,index,DV008,development,0.1,0.6666666666666666,0.06666666666666667
2,17,6.0,expert_assessment,2026,0.8,integrated development moderate,score,DV009,development,0.1,0.6,0.06
2,18,7.0,expert_assessment,2026,0.85,recovery programming present,score,DV010,development,0.1,0.7,0.06999999999999999
2,19,6.0,expert_assessment,2026,0.8,good info support,score,SC001,security,0.1,0.6,0.06
2,20,6.0,expert_assessment,2026,0.75,AI possible,score,SC002,security,0.1,0.6,0.06
2,21,7.0,expert_assessment,2026,0.85,GIS in use,score,SC003,security,0.1,0.7,0.06999999999999999
2,22,6.0,expert_assessment,2026,0.75,moderate human capacity,score,SC004,security,0.1,0.6,0.06
2,23,6.0,expert_assessment,2026,0.7,moderate research,score,SC005,security,0.1,0.6,0.06
2,24,5.0,expert_assessment,2026,0.65,average scientific activity,score,SC006,security,0.1,0.5,0.05
2,25,7.0,expert_assessment,2026,0.8,good NSDI alignment,score,SC007,security,0.1,0.7,0.06999999999999999
2,26,6.0,expert_assessment,2026,0.75,good geodata use,score,SC008,security,0.1,0.6,0.06
2,27,6.0,expert_assessment,2026,0.75,monitoring moderate,score,SC009,security,0.1,0.6,0.06
2,28,7.0,expert_assessment,2026,0.85,good decision support,score,SC010,security,0.1,0.7,0.06999999999999999
3,1,5.0,expert_assessment,2026,0.8,moderate,score,SP001,spatial,0.125,0.5,0.0625
3,2,0.31,regional_stats,2026,0.8,share of area,percent,SP002,spatial,0.125,0.37499999999999994,0.04687499999999999
3,3,5.0,expert_assessment,2026,0.8,moderate flexibility,score,SP003,spatial,0.125,0.5,0.0625
3,4,5.0,expert_assessment,2026,0.75,average land data handling,score,SP004,spatial,0.125,0.5,0.0625
3,5,5.0,expert_assessment,2026,0.75,average investment setup,score,SP005,spatial,0.125,0.5,0.0625
3,6,6.0,expert_assessment,2026,0.8,good GIS enablement,score,SP006,spatial,0.125,0.6,0.075
3,7,5.0,expert_assessment,2026,0.75,boundaries incomplete,score,SP007,spatial,0.125,0.5,0.0625
3,8,5.0,expert_assessment,2026,0.7,average organization,score,SP008,spatial,0.125,0.5,0.0625
3,9,5.0,expert_assessment,2026,0.8,average governance,score,DV001,development,0.1,0.5,0.05
3,10,5.0,expert_assessment,2026,0.8,moderate wartime functioning,score,DV002,development,0.1,0.5,0.05
3,11,6.0,expert_assessment,2026,0.8,coordination exists,score,DV003,development,0.1,0.6,0.06
3,12,0.98,stats,2026,0.75,stagnation,index,DV004,development,0.1,0.32,0.032
3,13,5.0,expert_assessment,2026,0.75,average admin services,index,DV005,development,0.1,0.3333333333333333,0.03333333333333333
3,14,1.01,budget_stats,2026,0.8,flat budget trend,index,DV006,development,0.1,0.29166666666666696,0.0291666666666667
3,15,5.0,expert_assessment,2026,0.7,average efficiency,index,DV007,development,0.1,0.3333333333333333,0.03333333333333333
3,16,3.0,expert_assessment,2026,0.65,few partners,index,DV008,development,0.1,0.3333333333333333,0.03333333333333333
3,17,5.0,expert_assessment,2026,0.75,average integrated development,score,DV009,development,0.1,0.5,0.05
3,18,6.0,expert_assessment,2026,0.8,recovery planning exists,score,DV010,development,0.1,0.6,0.06
3,19,5.0,expert_assessment,2026,0.75,average information support,score,SC001,security,0.1,0.5,0.05
3,20,5.0,expert_assessment,2026,0.75,limited AI use,score,SC002,security,0.1,0.5,0.05
3,21,6.0,expert_assessment,2026,0.8,GIS partially used,score,SC003,security,0.1,0.6,0.06
3,22,5.0,expert_assessment,2026,0.75,average human capacity,score,SC004,security,0.1,0.5,0.05
3,23,5.0,expert_assessment,2026,0.65,average research,score,SC005,security,0.1,0.5,0.05
3,24,5.0,expert_assessment,2026,0.65,average activity,score,SC006,security,0.1,0.5,0.05
3,25,6.0,expert_assessment,2026,0.75,moderate NSDI alignment,score,SC007,security,0.1,0.6,0.06
3,26,5.0,expert_assessment,2026,0.75,average geodata use,score,SC008,security,0.1,0.5,0.05
3,27,5.0,expert_assessment,2026,0.75,average monitoring,score,SC009,security,0.1,0.5,0.05
3,28,6.0,expert_assessment,2026,0.8,good analytics,score,SC010,security,0.1,0.6,0.06
4,1,7.0,expert_assessment,2026,0.85,strong,score,SP001,spatial,0.125,0.7,0.0875
4,2,0.37,regional_stats,2026,0.8,share of area,percent,SP002,spatial,0.125,0.6249999999999999,0.07812499999999999
4,3,7.0,expert_assessment,2026,0.8,strong flexibility,score,SP003,spatial,0.125,0.7,0.0875
4,4,6.0,expert_assessment,2026,0.8,good land data handling,score,SP004,spatial,0.125,0.6,0.075
4,5,6.0,expert_assessment,2026,0.75,good investment setup,score,SP005,spatial,0.125,0.6,0.075
4,6,7.0,expert_assessment,2026,0.85,strong GIS enablement,score,SP006,spatial,0.125,0.7,0.0875
4,7,7.0,expert_assessment,2026,0.8,boundaries formalized,score,SP007,spatial,0.125,0.7,0.0875
4,8,6.0,expert_assessment,2026,0.7,stable organization,score,SP008,spatial,0.125,0.6,0.075
4,9,6.0,expert_assessment,2026,0.8,good governance,score,DV001,development,0.1,0.6,0.06
4,10,6.0,expert_assessment,2026,0.8,good wartime functioning,score,DV002,development,0.1,0.6,0.06
4,11,7.0,expert_assessment,2026,0.8,coordination good,score,DV003,development,0.1,0.7,0.06999999999999999
4,12,1.08,stats,2026,0.75,moderate growth,index,DV004,development,0.1,0.7200000000000005,0.07200000000000005
4,13,6.0,expert_assessment,2026,0.75,good services,index,DV005,development,0.1,0.6666666666666666,0.06666666666666667
4,14,1.11,budget_stats,2026,0.8,positive budget,index,DV006,development,0.1,0.708333333333334,0.0708333333333334
4,15,6.0,expert_assessment,2026,0.7,good efficiency,index,DV007,development,0.1,0.6666666666666666,0.06666666666666667
4,16,4.0,expert_assessment,2026,0.65,limited partners,index,DV008,development,0.1,0.6666666666666666,0.06666666666666667
4,17,6.0,expert_assessment,2026,0.75,integrated development present,score,DV009,development,0.1,0.6,0.06
4,18,7.0,expert_assessment,2026,0.8,recovery programming good,score,DV010,development,0.1,0.7,0.06999999999999999
4,19,6.0,expert_assessment,2026,0.75,good info support,score,SC001,security,0.1,0.6,0.06
4,20,6.0,expert_assessment,2026,0.75,AI possible,score,SC002,security,0.1,0.6,0.06
4,21,7.0,expert_assessment,2026,0.8,GIS used,score,SC003,security,0.1,0.7,0.06999999999999999
4,22,6.0,expert_assessment,2026,0.75,moderate human capacity,score,SC004,security,0.1,0.6,0.06
4,23,6.0,expert_assessment,2026,0.65,research good,score,SC005,security,0.1,0.6,0.06
4,24,6.0,expert_assessment,2026,0.65,events moderate,score,SC006,security,0.1,0.6,0.06
4,25,7.0,expert_assessment,2026,0.75,good NSDI alignment,score,SC007,security,0.1,0.7,0.06999999999999999
4,26,6.0,expert_assessment,2026,0.75,good geodata use,score,SC008,security,0.1,0.6,0.06
4,27,6.0,expert_assessment,2026,0.75,good monitoring,score,SC009,security,0.1,0.6,0.06
4,28,7.0,expert_assessment,2026,0.8,good decision support,score,SC010,security,0.1,0.7,0.06999999999999999
5,1,4.0,expert_assessment,2026,0.75,weak,score,SP001,spatial,0.125,0.4,0.05
5,2,0.22,regional_stats,2026,0.8,share of area,percent,SP002,spatial,0.125,0.0,0.0
5,3,4.0,expert_assessment,2026,0.75,low flexibility,score,SP003,spatial,0.125,0.4,0.05
5,4,4.0,expert_assessment,2026,0.75,weak land data handling,score,SP004,spatial,0.125,0.4,0.05
5,5,4.0,expert_assessment,2026,0.7,weak investment setup,score,SP005,spatial,0.125,0.4,0.05
5,6,5.0,expert_assessment,2026,0.75,limited GIS enablement,score,SP006,spatial,0.125,0.5,0.0625
5,7,4.0,expert_assessment,2026,0.7,boundaries incomplete,score,SP007,spatial,0.125,0.4,0.05
5,8,4.0,expert_assessment,2026,0.7,weak organization,score,SP008,spatial,0.125,0.4,0.05
5,9,4.0,expert_assessment,2026,0.75,weak governance,score,DV001,development,0.1,0.4,0.04000000000000001
5,10,4.0,expert_assessment,2026,0.75,weak wartime functioning,score,DV002,development,0.1,0.4,0.04000000000000001
5,11,5.0,expert_assessment,2026,0.75,limited coordination,score,DV003,development,0.1,0.5,0.05
5,12,0.9,stats,2026,0.7,decline,index,DV004,development,0.1,0.0,0.0
5,13,4.0,expert_assessment,2026,0.7,weak services,index,DV005,development,0.1,0.0,0.0
5,14,0.94,budget_stats,2026,0.75,negative trend,index,DV006,development,0.1,0.0,0.0
5,15,4.0,expert_assessment,2026,0.65,low efficiency,index,DV007,development,0.1,0.0,0.0
5,16,2.0,expert_assessment,2026,0.6,few partners,index,DV008,development,0.1,0.0,0.0
5,17,4.0,expert_assessment,2026,0.7,weak integrated development,score,DV009,development,0.1,0.4,0.04000000000000001
5,18,5.0,expert_assessment,2026,0.75,recovery planning basic,score,DV010,development,0.1,0.5,0.05
5,19,4.0,expert_assessment,2026,0.7,weak info support,score,SC001,security,0.1,0.4,0.04000000000000001
5,20,4.0,expert_assessment,2026,0.7,AI nearly absent,score,SC002,security,0.1,0.4,0.04000000000000001
5,21,5.0,expert_assessment,2026,0.75,limited GIS use,score,SC003,security,0.1,0.5,0.05
5,22,4.0,expert_assessment,2026,0.7,weak human capacity,score,SC004,security,0.1,0.4,0.04000000000000001
5,23,4.0,expert_assessment,2026,0.6,weak research,score,SC005,security,0.1,0.4,0.04000000000000001
5,24,4.0,expert_assessment,2026,0.6,low events,score,SC006,security,0.1,0.4,0.04000000000000001
5,25,5.0,expert_assessment,2026,0.7,partial NSDI alignment,score,SC007,security,0.1,0.5,0.05
5,26,4.0,expert_assessment,2026,0.7,weak geodata use,score,SC008,security,0.1,0.4,0.04000000000000001
5,27,4.0,expert_assessment,2026,0.7,weak monitoring,score,SC009,security,0.1,0.4,0.04000000000000001
5,28,5.0,expert_assessment,2026,0.75,limited decision support,score,SC010,security,0.1,0.5,0.05
